,target,target_loc,ligand,ligand_loc,Exp. dG,Pred. dG,Pred. Error
syk_CHEMBL3264999,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3264999,../data/syk/syk_ligand_CHEMBL3264999.pdb,-11.42,-11.59,0.16
syk_CHEMBL3265014,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265014,../data/syk/syk_ligand_CHEMBL3265014.pdb,-10.4,-9.96,0.13
syk_CHEMBL3265034,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265034,../data/syk/syk_ligand_CHEMBL3265034.pdb,-11.49,-11.09,0.14
syk_CHEMBL3265015,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265015,../data/syk/syk_ligand_CHEMBL3265015.pdb,-9.48,-7.57,0.14
syk_CHEMBL3265036,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265036,../data/syk/syk_ligand_CHEMBL3265036.pdb,-10.42,-11.51,0.14
syk_CHEMBL3265020,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265020,../data/syk/syk_ligand_CHEMBL3265020.pdb,-11.01,-9.98,0.14
syk_CHEMBL3265023,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265023,../data/syk/syk_ligand_CHEMBL3265023.pdb,-10.48,-10.5,0.14
syk_CHEMBL3265002,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265002,../data/syk/syk_ligand_CHEMBL3265002.pdb,-10.61,-12.79,0.17
syk_CHEMBL3265033,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265033,../data/syk/syk_ligand_CHEMBL3265033.pdb,-11.84,-11.17,0.13
syk_CHEMBL3265027,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265027,../data/syk/syk_ligand_CHEMBL3265027.pdb,-10.33,-10.04,0.14
syk_CHEMBL3265028,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265028,../data/syk/syk_ligand_CHEMBL3265028.pdb,-11.01,-10.49,0.13
syk_CHEMBL3264997,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3264997,../data/syk/syk_ligand_CHEMBL3264997.pdb,-10.98,-11.31,0.19
syk_CHEMBL3264996,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3264996,../data/syk/syk_ligand_CHEMBL3264996.pdb,-10.67,-12.06,0.17
syk_CHEMBL3264994,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3264994,../data/syk/syk_ligand_CHEMBL3264994.pdb,-9.81,-11.33,0.2
syk_CHEMBL3264995,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3264995,../data/syk/syk_ligand_CHEMBL3264995.pdb,-12.39,-12.21,0.18
syk_CHEMBL3265032,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265032,../data/syk/syk_ligand_CHEMBL3265032.pdb,-11.06,-10.83,0.13
syk_CHEMBL3265031,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265031,../data/syk/syk_ligand_CHEMBL3265031.pdb,-12.07,-11.53,0.13
syk_CHEMBL3265037,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265037,../data/syk/syk_ligand_CHEMBL3265037.pdb,-12.77,-11.17,0.13
syk_CHEMBL3265026,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265026,../data/syk/syk_ligand_CHEMBL3265026.pdb,-11.36,-9.49,0.14
syk_CHEMBL3265012,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265012,../data/syk/syk_ligand_CHEMBL3265012.pdb,-10.55,-11.05,0.19
syk_CHEMBL3265003,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265003,../data/syk/syk_ligand_CHEMBL3265003.pdb,-10.82,-13.39,0.15
syk_CHEMBL3264998,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3264998,../data/syk/syk_ligand_CHEMBL3264998.pdb,-11.72,-13.18,0.18
syk_CHEMBL3265029,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265029,../data/syk/syk_ligand_CHEMBL3265029.pdb,-11.12,-10.63,0.14
syk_CHEMBL3265035,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265035,../data/syk/syk_ligand_CHEMBL3265035.pdb,-11.08,-11.41,0.15
syk_CHEMBL3265024,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265024,../data/syk/syk_ligand_CHEMBL3265024.pdb,-11.79,-9.62,0.14
syk_CHEMBL3265018,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265018,../data/syk/syk_ligand_CHEMBL3265018.pdb,-11.19,-10.93,0.16
syk_CHEMBL3265008,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265008,../data/syk/syk_ligand_CHEMBL3265008.pdb,-9.78,-10.6,0.13
syk_CHEMBL3265016,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265016,../data/syk/syk_ligand_CHEMBL3265016.pdb,-11.69,-9.59,0.14
syk_CHEMBL3265025,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265025,../data/syk/syk_ligand_CHEMBL3265025.pdb,-10.2,-10.36,0.13
syk_CHEMBL3265013,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265013,../data/syk/syk_ligand_CHEMBL3265013.pdb,-9.81,-10.35,0.15
syk_CHEMBL3259820,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3259820,../data/syk/syk_ligand_CHEMBL3259820.pdb,-10.57,-10.32,0.16
syk_CHEMBL3265001,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265001,../data/syk/syk_ligand_CHEMBL3265001.pdb,-12.03,-12.81,0.18
syk_CHEMBL3265006,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265006,../data/syk/syk_ligand_CHEMBL3265006.pdb,-9.96,-10.06,0.13
syk_CHEMBL3265030_n,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265030_n,../data/syk/syk_ligand_CHEMBL3265030_n.pdb,-11.47,-11.28,0.13
syk_CHEMBL3265022,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265022,../data/syk/syk_ligand_CHEMBL3265022.pdb,-10.79,-10.29,0.13
syk_CHEMBL3265019,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265019,../data/syk/syk_ligand_CHEMBL3265019.pdb,-10.78,-11.54,0.17
syk_CHEMBL3265004,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265004,../data/syk/syk_ligand_CHEMBL3265004.pdb,-10.86,-12.83,0.17
syk_CHEMBL3265009,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265009,../data/syk/syk_ligand_CHEMBL3265009.pdb,-10.3,-10.82,0.14
syk_CHEMBL3265021,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265021,../data/syk/syk_ligand_CHEMBL3265021.pdb,-10.89,-10.48,0.14
syk_CHEMBL3265011,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265011,../data/syk/syk_ligand_CHEMBL3265011.pdb,-8.64,-6.76,0.15
syk_CHEMBL3265005,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265005,../data/syk/syk_ligand_CHEMBL3265005.pdb,-10.33,-10.43,0.14
syk_CHEMBL3265017,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265017,../data/syk/syk_ligand_CHEMBL3265017.pdb,-11.49,-10.59,0.14
syk_CHEMBL3265000,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265000,../data/syk/syk_ligand_CHEMBL3265000.pdb,-11.81,-12.9,0.2
syk_CHEMBL3265010,syk,../data/syk/4pv0-prepared.pdb,CHEMBL3265010,../data/syk/syk_ligand_CHEMBL3265010.pdb,-10.14,-10.54,0.17
tnks2_3a,tnks2,../data/tnks2/4ui5-prepared.pdb,3a,../data/tnks2/tnks2_ligand_3a.pdb,-11.0,-12.41,0.12
tnks2_5f,tnks2,../data/tnks2/4ui5-prepared.pdb,5f,../data/tnks2/tnks2_ligand_5f.pdb,-10.26,-11.45,0.12
tnks2_8e,tnks2,../data/tnks2/4ui5-prepared.pdb,8e,../data/tnks2/tnks2_ligand_8e.pdb,-10.24,-8.08,0.12
tnks2_5l,tnks2,../data/tnks2/4ui5-prepared.pdb,5l,../data/tnks2/tnks2_ligand_5l.pdb,-10.09,-11.92,0.13
tnks2_8b,tnks2,../data/tnks2/4ui5-prepared.pdb,8b,../data/tnks2/tnks2_ligand_8b.pdb,-11.93,-10.05,0.12
tnks2_5g,tnks2,../data/tnks2/4ui5-prepared.pdb,5g,../data/tnks2/tnks2_ligand_5g.pdb,-10.81,-11.9,0.12
tnks2_1b,tnks2,../data/tnks2/4ui5-prepared.pdb,1b,../data/tnks2/tnks2_ligand_1b.pdb,-9.94,-9.58,0.12
tnks2_5e,tnks2,../data/tnks2/4ui5-prepared.pdb,5e,../data/tnks2/tnks2_ligand_5e.pdb,-10.11,-10.93,0.12
tnks2_5i,tnks2,../data/tnks2/4ui5-prepared.pdb,5i,../data/tnks2/tnks2_ligand_5i.pdb,-12.08,-13.17,0.12
tnks2_8d,tnks2,../data/tnks2/4ui5-prepared.pdb,8d,../data/tnks2/tnks2_ligand_8d.pdb,-12.49,-9.84,0.11
tnks2_5b,tnks2,../data/tnks2/4ui5-prepared.pdb,5b,../data/tnks2/tnks2_ligand_5b.pdb,-10.47,-11.97,0.13
tnks2_5h,tnks2,../data/tnks2/4ui5-prepared.pdb,5h,../data/tnks2/tnks2_ligand_5h.pdb,-10.05,-10.25,0.12
tnks2_8c,tnks2,../data/tnks2/4ui5-prepared.pdb,8c,../data/tnks2/tnks2_ligand_8c.pdb,-10.12,-8.0,0.11
tnks2_5a,tnks2,../data/tnks2/4ui5-prepared.pdb,5a,../data/tnks2/tnks2_ligand_5a.pdb,-10.76,-11.38,0.11
tnks2_5k,tnks2,../data/tnks2/4ui5-prepared.pdb,5k,../data/tnks2/tnks2_ligand_5k.pdb,-10.96,-10.87,0.11
tnks2_7,tnks2,../data/tnks2/4ui5-prepared.pdb,7,../data/tnks2/tnks2_ligand_7.pdb,-8.4,-9.01,0.12
tnks2_5p,tnks2,../data/tnks2/4ui5-prepared.pdb,5p,../data/tnks2/tnks2_ligand_5p.pdb,-10.5,-10.76,0.13
tnks2_1a,tnks2,../data/tnks2/4ui5-prepared.pdb,1a,../data/tnks2/tnks2_ligand_1a.pdb,-8.55,-8.09,0.12
tnks2_5j,tnks2,../data/tnks2/4ui5-prepared.pdb,5j,../data/tnks2/tnks2_ligand_5j.pdb,-11.08,-11.51,0.12
tnks2_8f,tnks2,../data/tnks2/4ui5-prepared.pdb,8f,../data/tnks2/tnks2_ligand_8f.pdb,-11.81,-9.81,0.12
tnks2_3b,tnks2,../data/tnks2/4ui5-prepared.pdb,3b,../data/tnks2/tnks2_ligand_3b.pdb,-11.52,-12.04,0.12
tnks2_8a,tnks2,../data/tnks2/4ui5-prepared.pdb,8a,../data/tnks2/tnks2_ligand_8a.pdb,-10.81,-8.46,0.12
tnks2_5o,tnks2,../data/tnks2/4ui5-prepared.pdb,5o,../data/tnks2/tnks2_ligand_5o.pdb,-12.04,-12.67,0.14
tnks2_5d,tnks2,../data/tnks2/4ui5-prepared.pdb,5d,../data/tnks2/tnks2_ligand_5d.pdb,-10.89,-10.9,0.11
tnks2_5m,tnks2,../data/tnks2/4ui5-prepared.pdb,5m,../data/tnks2/tnks2_ligand_5m.pdb,-12.69,-12.51,0.12
tnks2_5n,tnks2,../data/tnks2/4ui5-prepared.pdb,5n,../data/tnks2/tnks2_ligand_5n.pdb,-10.71,-10.93,0.13
tnks2_5c,tnks2,../data/tnks2/4ui5-prepared.pdb,5c,../data/tnks2/tnks2_ligand_5c.pdb,-9.96,-11.82,0.13
cmet_CHEMBL3402753_200,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402753_200,../data/cmet/cmet_ligand_CHEMBL3402753_200.pdb,-9.14,-9.88,0.25
cmet_CHEMBL3402759_5.7,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402759_5.7,../data/cmet/cmet_ligand_CHEMBL3402759_5.7.pdb,-11.25,-11.93,0.32
cmet_CHEMBL3402747_3400,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402747_3400,../data/cmet/cmet_ligand_CHEMBL3402747_3400.pdb,-7.46,-5.97,0.25
cmet_CHEMBL3402744_300,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402744_300,../data/cmet/cmet_ligand_CHEMBL3402744_300.pdb,-8.9,-7.41,0.27
cmet_CHEMBL3402745_200,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402745_200,../data/cmet/cmet_ligand_CHEMBL3402745_200.pdb,-9.14,-8.31,0.28
cmet_CHEMBL3402761_1,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402761_1,../data/cmet/cmet_ligand_CHEMBL3402761_1.pdb,-12.28,-12.22,0.24
cmet_CHEMBL3402750_400,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402750_400,../data/cmet/cmet_ligand_CHEMBL3402750_400.pdb,-8.73,-9.19,0.25
cmet_CHEMBL3402743_42,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402743_42,../data/cmet/cmet_ligand_CHEMBL3402743_42.pdb,-10.06,-9.12,0.26
cmet_CHEMBL3402752_30000,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402752_30000,../data/cmet/cmet_ligand_CHEMBL3402752_30000.pdb,-6.17,-5.92,0.27
cmet_CHEMBL3402755_4200,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402755_4200,../data/cmet/cmet_ligand_CHEMBL3402755_4200.pdb,-7.34,-8.36,0.25
cmet_CHEMBL3402758_10,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402758_10,../data/cmet/cmet_ligand_CHEMBL3402758_10.pdb,-10.91,-12.24,0.3
cmet_CHEMBL3402749_500,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402749_500,../data/cmet/cmet_ligand_CHEMBL3402749_500.pdb,-8.6,-7.47,0.28
cmet_CHEMBL3402757_6.5,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402757_6.5,../data/cmet/cmet_ligand_CHEMBL3402757_6.5.pdb,-11.17,-11.8,0.3
cmet_CHEMBL3402765_11-charged-pKa-8.1,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402765_11-charged-pKa-8.1,../data/cmet/cmet_ligand_CHEMBL3402765_11-charged-pKa-8.1.pdb,-10.86,-9.94,0.31
cmet_CHEMBL3402762_1,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402762_1,../data/cmet/cmet_ligand_CHEMBL3402762_1.pdb,-12.28,-13.45,0.25
cmet_CHEMBL3402742_23,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402742_23,../data/cmet/cmet_ligand_CHEMBL3402742_23.pdb,-10.42,-10.85,0.32
cmet_CHEMBL3402754_40,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402754_40,../data/cmet/cmet_ligand_CHEMBL3402754_40.pdb,-10.09,-9.64,0.25
cmet_CHEMBL3402748_5300,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402748_5300,../data/cmet/cmet_ligand_CHEMBL3402748_5300.pdb,-7.2,-6.97,0.28
cmet_CHEMBL3402741_400,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402741_400,../data/cmet/cmet_ligand_CHEMBL3402741_400.pdb,-8.73,-10.16,0.36
cmet_CHEMBL3402763_90,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402763_90,../data/cmet/cmet_ligand_CHEMBL3402763_90.pdb,-9.61,-10.97,0.31
cmet_CHEMBL3402764_90,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402764_90,../data/cmet/cmet_ligand_CHEMBL3402764_90.pdb,-9.61,-9.0,0.35
cmet_CHEMBL3402751_2100,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402751_2100,../data/cmet/cmet_ligand_CHEMBL3402751_2100.pdb,-7.75,-6.97,0.28
cmet_CHEMBL3402756_2.7,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402756_2.7,../data/cmet/cmet_ligand_CHEMBL3402756_2.7.pdb,-11.69,-11.62,0.3
cmet_CHEMBL3402760_1,cmet,../data/cmet/4r1y_prepared.pdb,CHEMBL3402760_1,../data/cmet/cmet_ligand_CHEMBL3402760_1.pdb,-12.28,-12.26,0.26
eg5_CHEMBL1078774,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1078774,../data/eg5/eg5_ligand_CHEMBL1078774.pdb,-10.6,-9.17,0.22
eg5_CHEMBL1093087,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1093087,../data/eg5/eg5_ligand_CHEMBL1093087.pdb,-10.53,-11.56,0.25
eg5_CHEMBL1082249,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1082249,../data/eg5/eg5_ligand_CHEMBL1082249.pdb,-11.22,-11.07,0.25
eg5_CHEMBL1089393,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1089393,../data/eg5/eg5_ligand_CHEMBL1089393.pdb,-8.38,-8.57,0.22
eg5_CHEMBL1078691,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1078691,../data/eg5/eg5_ligand_CHEMBL1078691.pdb,-10.19,-10.23,0.21
eg5_CHEMBL1086409,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1086409,../data/eg5/eg5_ligand_CHEMBL1086409.pdb,-9.87,-9.68,0.22
eg5_CHEMBL1082248,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1082248,../data/eg5/eg5_ligand_CHEMBL1082248.pdb,-11.63,-11.09,0.23
eg5_CHEMBL1084678,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1084678,../data/eg5/eg5_ligand_CHEMBL1084678.pdb,-11.13,-13.62,0.25
eg5_CHEMBL1084115,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1084115,../data/eg5/eg5_ligand_CHEMBL1084115.pdb,-9.44,-9.81,0.22
eg5_CHEMBL1084431,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1084431,../data/eg5/eg5_ligand_CHEMBL1084431.pdb,-9.8,-10.05,0.26
eg5_CHEMBL1085895,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1085895,../data/eg5/eg5_ligand_CHEMBL1085895.pdb,-10.86,-10.92,0.22
eg5_CHEMBL1084677,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1084677,../data/eg5/eg5_ligand_CHEMBL1084677.pdb,-11.46,-11.84,0.29
eg5_CHEMBL1077227,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1077227,../data/eg5/eg5_ligand_CHEMBL1077227.pdb,-11.32,-10.82,0.21
eg5_CHEMBL1086410,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1086410,../data/eg5/eg5_ligand_CHEMBL1086410.pdb,-11.46,-10.27,0.21
eg5_CHEMBL1083517,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1083517,../data/eg5/eg5_ligand_CHEMBL1083517.pdb,-11.46,-11.24,0.26
eg5_CHEMBL1096003,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1096003,../data/eg5/eg5_ligand_CHEMBL1096003.pdb,-11.87,-12.16,0.29
eg5_CHEMBL1077204,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1077204,../data/eg5/eg5_ligand_CHEMBL1077204.pdb,-11.05,-11.65,0.3
eg5_CHEMBL1083836,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1083836,../data/eg5/eg5_ligand_CHEMBL1083836.pdb,-10.86,-10.53,0.26
eg5_CHEMBL1085666,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1085666,../data/eg5/eg5_ligand_CHEMBL1085666.pdb,-10.5,-10.65,0.24
eg5_CHEMBL1085692,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1085692,../data/eg5/eg5_ligand_CHEMBL1085692.pdb,-11.32,-12.65,0.29
eg5_CHEMBL1084143,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1084143,../data/eg5/eg5_ligand_CHEMBL1084143.pdb,-11.87,-12.24,0.3
eg5_CHEMBL1096002,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1096002,../data/eg5/eg5_ligand_CHEMBL1096002.pdb,-11.13,-10.96,0.24
eg5_CHEMBL1089056,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1089056,../data/eg5/eg5_ligand_CHEMBL1089056.pdb,-9.44,-9.41,0.21
eg5_CHEMBL1093088,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1093088,../data/eg5/eg5_ligand_CHEMBL1093088.pdb,-11.22,-9.65,0.21
eg5_CHEMBL1084676,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1084676,../data/eg5/eg5_ligand_CHEMBL1084676.pdb,-10.71,-10.6,0.27
eg5_CHEMBL1084935,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1084935,../data/eg5/eg5_ligand_CHEMBL1084935.pdb,-10.53,-9.39,0.23
eg5_CHEMBL1078998,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1078998,../data/eg5/eg5_ligand_CHEMBL1078998.pdb,-10.37,-10.45,0.21
eg5_CHEMBL1088740,eg5,../data/eg5/3l9h_prepared.pdb,CHEMBL1088740,../data/eg5/eg5_ligand_CHEMBL1088740.pdb,-8.7,-8.64,0.22
